CID,z,width,bands,err
1291254,0.35116,1.4360693222656251,4,0.08561247744277206
1291346,0.29876,1.3775543994140629,4,0.07912647567660899
1291408,0.34818,1.1445486458333327,3,0.1011279779550542
1291511,0.37325,1.3672599121093751,3,0.08480630562924807
1291783,0.39922,1.3038434804687502,3,0.10934561553365292
1291788,0.3845,1.3854013671875,3,0.10209956998589727
1291794,0.3956,1.33308875,3,0.10508184190790217
1291957,0.37244,1.4276927724609376,4,0.07841052821838593
1292033,0.32565,1.3342805338541668,3,0.08129358000275459
1292145,0.493,1.7678830729166666,3,0.16339879747132433
1292227,0.29279,1.1641106828613283,4,0.07587333424272477
1292332,0.27358,1.3430423466796875,4,0.07300960159390367
1292336,0.23446,1.2168894389648437,4,0.07494456566332658
1292560,0.22582,1.2730302307128905,4,0.07151605905496985
1292767,0.30996,1.3918325,2,0.10166727600540656
1292823,0.34672,1.4239196718749998,4,0.08463374779869463
1292997,0.41562,1.41783190625,1,0.1824949606615606
1293006,0.50562,1.478565890625,3,0.1073377957963212
1293046,0.60863,1.4149346103515628,3,0.12025221957081526
1293319,0.2979,1.6338456982421883,4,0.08053174220068253
1293366,0.32145,1.4215911328125,4,0.07877331345977688
1293465,0.4992,1.2134149999999992,3,0.09828215537595054
1293758,0.14896,1.0118103802083338,3,0.08193367235293435
1293783,0.32927,1.2267188964843747,3,0.10126870123031838
1293789,0.42914,1.5958264785156253,3,0.10114115393172862
1293832,0.81398,2.0634022500000007,3,0.1433954414698201
1293921,0.50552,1.6429379062500002,3,0.09703070020185794
1294137,0.4719,1.3977300390625,1,0.16675863918830552
1294340,0.36186,1.3721670458984376,4,0.0794559969876494
1294341,0.36897,1.3514568095703126,4,0.08870040276279227
1294351,0.33926,1.4014819672851564,4,0.08235088642719887
1294667,0.6295,1.6474287434895831,3,0.1272884226300642
1294743,0.31363,1.2396420993652344,4,0.08155153443750675
1294806,0.52588,1.792511635416667,3,0.120863407549451
1294971,0.58877,1.6927744423828122,3,0.1578906851570006
1295024,0.33494,1.3262381206054688,4,0.09194790562948614
1295027,0.42676,1.3944581907552083,3,0.10360158963487685
1295079,0.54562,1.86893230859375,3,0.1540829818901716
1295249,0.53309,1.3823760742187503,3,0.12291177034300388
1295285,0.52634,1.5833790078124999,3,0.10600360514714159
1295291,0.86329,1.7743106240234376,2,0.1650292858080086
1295315,0.34934,1.4788054833984379,4,0.0858605268747251
1295509,0.68428,1.6292338697916666,3,0.1367260761985722
1295527,0.88568,1.8886263749999999,2,0.1528352998688076
1295550,0.87345,1.9256833959960935,2,1.0638937904742778
1295592,0.35684,1.40838401953125,4,0.08348260587101214
1295685,0.56046,1.6579887500000003,1,0.21794794851378219
1295794,0.67164,1.463555645833333,3,0.11983211005723317
1295800,0.74924,1.6277270390624994,3,0.1400486510184684
1296161,0.86394,2.046511466796875,2,0.16650481879445037
1296173,0.65898,1.5624221796874997,2,0.1721079598590487
1296321,0.18531,1.248704021158854,3,0.08861819256261365
1296657,0.14715,1.2917386979166663,3,0.0840402656398846
1296671,0.64986,1.8491375237630205,3,0.20551325008034316
1296793,0.64526,1.4858754374999996,3,0.1323520717338761
1296802,0.74534,1.6964795703125002,3,0.13314566754667012
1296919,0.67832,1.6145088749999996,3,0.1262883848233786
1296963,0.48917,1.4445724609375006,3,0.11632218532072375
1297026,0.25956,1.1963359921875,4,0.07773198663830631
1297061,0.53445,1.548635670572917,3,0.12620207754816826
1297063,0.4357,1.4528984895833332,3,0.10449408537971866
1297064,0.65109,1.581972104817708,3,0.1435754242695578
1297070,0.73135,1.7114552555338538,3,0.12896896540751368
1297157,0.54947,1.8954779492187506,3,0.11548672041249541
1297318,0.33529,1.452062675292969,4,0.07991890024206257
1297353,0.54459,1.7255966406250003,3,0.11708347129079279
1297377,0.61044,1.5253047604166665,3,0.12059735639600776
1297465,0.27836,1.5069105439453125,4,0.0731007628716481
1297490,0.73743,1.504075957682292,3,0.12603869993906583
1297501,0.21541,1.293984357421875,4,0.07068089640090039
1297532,0.86532,1.8354457343750001,2,0.16405344612581074
1297580,0.63626,1.4719948359375,3,0.1173013477610908
